receipt_id,old_created_at,new_created_at,action
25051149,2025-05-28,2025-05-27,updated
25051150,2025-05-28,2025-05-27,updated
25051152,2025-05-29,2025-05-28,updated
25051156,2025-05-29,2025-05-28,updated
25051161,2025-05-29,2025-05-28,updated
25051162,2025-05-29,2025-05-28,updated
25051164,2025-05-29,2025-05-28,updated
25051168,2025-05-30,2025-05-29,updated
25051169,2025-05-30,2025-05-29,updated
25051185,2025-05-30,2025-05-29,updated
25051188,2025-05-30,2025-05-29,updated
25051199,2025-05-31,2025-05-30,updated
25051200,2025-05-30,2025-05-29,updated
25051201,2025-05-31,2025-05-30,updated
25051202,2025-05-30,2025-05-29,updated
25051203,2025-05-30,2025-05-29,updated
25051204,2025-05-30,2025-05-29,updated
25051205,2025-05-30,2025-05-29,updated
25051206,2025-05-30,2025-05-29,updated
25051207,2025-05-30,2025-05-29,updated
25051208,2025-05-30,2025-05-29,updated
25051209,2025-05-30,2025-05-29,updated
25051210,2025-05-30,2025-05-29,updated
25051211,2025-05-30,2025-05-29,updated
25051219,2025-05-31,2025-05-30,updated
25060001,2025-05-31,2025-05-30,updated
25060002,2025-05-31,2025-05-30,updated
25060003,2025-05-31,2025-05-30,updated
25060004,2025-05-31,2025-05-30,updated
25060005,2025-05-31,2025-05-30,updated
25060006,2025-05-31,2025-05-30,updated
25060007,2025-06-01,2025-05-31,updated
25060008,2025-05-31,2025-05-30,updated
25060009,2025-06-01,2025-05-31,updated
25060022,2025-06-01,2025-05-31,updated
25060023,2025-06-01,2025-05-31,updated
25060025,2025-06-01,2025-05-31,updated
25060030,2025-06-01,2025-05-31,updated
25060032,2025-06-01,2025-05-31,updated
25060036,2025-06-01,2025-05-31,updated
25060044,2025-06-01,2025-05-31,updated
25060045,2025-06-01,2025-05-31,updated
25060046,2025-06-01,2025-05-31,updated
